# Sample: EPI-2082_BCB_ITO_500nm_50K_0.12mW_1.15eV_
# Temperature: 50.1 K
# Power: 0.1162 mW
# Smoothing: Savitzky-Golay, window=37 pts, poly_order=3
# Columns: Energy(eV) | Raw_counts | DarkSub_norm | WL_corrected | Stitched | Stitched_smooth
Energy(eV)	Raw_counts	DarkSub_norm	WL_corrected	Stitched	Stitched_smooth
1.007751	1.711000e+03	3.470000e+01	1.760545e+01	1.760545e+01	1.593501e+01
1.007995	1.775000e+03	4.520000e+01	1.902626e+01	1.902626e+01	1.698812e+01
1.008239	1.733000e+03	4.050000e+01	2.309508e+01	2.309508e+01	1.794586e+01
1.008484	1.724000e+03	3.700000e+01	1.346777e+01	1.346777e+01	1.881135e+01
1.008728	1.758000e+03	3.910000e+01	2.129561e+01	2.129561e+01	1.958768e+01
1.008972	1.719000e+03	3.190000e+01	1.169684e+01	1.169684e+01	2.027796e+01
1.009217	1.728000e+03	4.170000e+01	2.337791e+01	2.337791e+01	2.088530e+01
1.009462	1.764000e+03	3.310000e+01	1.310210e+01	1.310210e+01	2.141280e+01
1.009706	1.755000e+03	3.200000e+01	1.811329e+01	1.811329e+01	2.186358e+01
1.009951	1.784000e+03	3.020000e+01	1.314487e+01	1.314487e+01	2.224073e+01
1.010196	1.702000e+03	3.000000e+01	1.269883e+01	1.269883e+01	2.254736e+01
1.010442	1.833000e+03	4.560000e+01	4.135449e+01	4.135449e+01	2.278657e+01
1.010687	1.796000e+03	5.280000e+01	6.324127e+01	6.324127e+01	2.296148e+01
1.010932	1.844000e+03	3.680000e+01	1.623088e+01	1.623088e+01	2.307519e+01
1.011178	1.783000e+03	3.520000e+01	2.074812e+01	2.074812e+01	2.313080e+01
1.011423	1.760000e+03	3.720000e+01	1.519090e+01	1.519090e+01	2.313142e+01
1.011669	1.656000e+03	2.970000e+01	1.424166e+01	1.424166e+01	2.308016e+01
1.011915	1.846000e+03	5.260000e+01	3.301801e+01	3.301801e+01	2.298012e+01
1.012161	1.822000e+03	3.830000e+01	2.801449e+01	2.801449e+01	2.283441e+01
1.012407	1.771000e+03	3.610000e+01	1.233108e+01	1.233108e+01	2.303262e+01
1.012653	1.734000e+03	3.240000e+01	1.442922e+01	1.442922e+01	2.204884e+01
1.012900	1.692000e+03	3.040000e+01	8.607627e+00	8.607627e+00	2.220872e+01
1.013146	1.820000e+03	4.060000e+01	2.719057e+01	2.719057e+01	2.168605e+01
1.013393	1.801000e+03	4.420000e+01	2.275241e+01	2.275241e+01	2.172527e+01
1.013640	1.778000e+03	3.890000e+01	2.231323e+01	2.231323e+01	2.112962e+01
1.013887	1.788000e+03	4.180000e+01	1.926223e+01	1.926223e+01	2.113819e+01
1.014133	1.778000e+03	4.280000e+01	3.665415e+01	3.665415e+01	2.049213e+01
1.014381	1.749000e+03	3.620000e+01	1.333908e+01	1.333908e+01	1.982219e+01
1.014628	1.755000e+03	4.020000e+01	2.416933e+01	2.416933e+01	1.805032e+01
1.014875	1.781000e+03	4.120000e+01	1.557266e+01	1.557266e+01	1.744389e+01
1.015123	1.709000e+03	3.550000e+01	1.725403e+01	1.725403e+01	1.741504e+01
1.015370	1.813000e+03	4.550000e+01	1.816799e+01	1.816799e+01	1.926609e+01
